Sample Id,Rep #,Product,Fat,Protein,Lactose,FPD,TS,SNF,Date,Time,Remark
1605-6 176,1,AIG NEWXX,6.98,5.79,4.69,-0.5571,17.46,11.18,16/05/2025,13:36,
1605-6 177,1,AIG NEWXX,6.69,5.16,4.85,-0.5568,16.7,10.71,16/05/2025,13:36,
1605-6 178,1,AIG NEWXX,7.02,5.48,4.55,-0.571,17.05,10.73,16/05/2025,13:37,
1605-6 179,1,AIG NEWXX,4.27,3.7,4.33,-0.5491,12.3,8.73,16/05/2025,13:38,
1605-6 180,1,AIG NEWXX,6.21,5.72,4.66,-0.568,16.59,11.08,16/05/2025,13:39,
1605-6 181,1,AIG NEWXX,6,5.7,4.59,-0.5589,16.29,10.99,16/05/2025,13:39,
1605-6 182,1,AIG NEWXX,3.88,3.67,4.36,-0.5535,11.91,8.73,16/05/2025,13:40,
1605-6 183,1,AIG NEWXX,7.38,5.85,4.5,-0.5634,17.73,11.05,16/05/2025,13:41,
1605-6 184,1,AIG NEWXX,6.52,5.8,4.68,-0.5583,17.0,11.18,16/05/2025,13:41,
1605-6 185,1,AIG NEWXX,6.49,5.71,4.57,-0.5617,16.77,10.98,16/05/2025,13:42,
1605-6 186,1,AIG NEWXX,6.99,5.72,4.48,-0.5593,17.19,10.9,16/05/2025,13:43,
1605-6 187,1,AIG NEWXX,6.76,5.39,4.73,-0.5623,16.88,10.82,16/05/2025,13:44,
1605-6 188,1,AIG NEWXX,6.85,5.79,4.57,-0.5687,17.21,11.06,16/05/2025,13:44,
1605-6 189,1,AIG NEWXX,6.74,5.87,4.64,-0.5595,17.25,11.21,16/05/2025,13:45,
1605-6 190,1,AIG NEWXX,6.92,5.9,4.59,-0.5725,17.41,11.19,16/05/2025,13:46,
1605-6 191,1,AIG NEWXX,3.65,3.55,4.53,-0.5483,11.73,8.78,16/05/2025,13:46,
1605-6 192,1,AIG NEWXX,6.25,5.42,4.56,-0.5566,16.23,10.68,16/05/2025,13:47,
1605-6 193,1,AIG NEWXX,6.82,5.97,4.47,-0.5634,17.26,11.14,16/05/2025,13:48,
