Sample Id,Rep #,Product,Fat,Protein,Lactose,FPD,TS,SNF,Date,Time,Remark
1605-6 1,1,AIG NEWXX,6.36,5.79,4.31,-0.5631,16.46,10.8,16/05/2025,11:25,
1605-6 2,1,AIG NEWXX,3.88,3.73,4.25,-0.5445,11.86,8.68,16/05/2025,11:26,
1605-6 3,1,AIG NEWXX,6.37,5.59,4.64,-0.5617,16.6,10.93,16/05/2025,11:27,
1605-6 4,1,AIG NEWXX,6.48,5.6,4.57,-0.5668,16.65,10.87,16/05/2025,11:27,
1605-6 5,1,AIG NEWXX,6.96,5.71,4.35,-0.5716,17.02,10.76,16/05/2025,11:28,
1605-6 6,1,AIG NEWXX,5.73,5.22,4.51,-0.5623,15.46,10.43,16/05/2025,11:29,
1605-6 7,1,AIG NEWXX,3.85,3.32,4.19,-0.551,11.36,8.21,16/05/2025,11:30,
1605-6 8,1,AIG NEWXX,6.97,5.76,4.64,-0.5634,17.37,11.1,16/05/2025,11:30,
1605-6 9,1,AIG NEWXX,6.57,5.6,4.53,-0.5746,16.7,10.83,16/05/2025,11:31,
1605-6 10,1,AIG NEWXX,4.29,3.72,4.46,-0.5457,12.47,8.88,16/05/2025,11:32,
1605-6 11,1,AIG NEWXX,6.77,5.72,4.79,-0.5638,17.28,11.21,16/05/2025,11:32,
1605-6 12,1,AIG NEWXX,4.25,3.45,4.7,-0.5429,12.4,8.85,16/05/2025,11:33,
1605-6 13,1,AIG NEWXX,6.44,5.64,4.58,-0.5622,16.66,10.92,16/05/2025,11:34,
1605-6 14,1,AIG NEWXX,5.94,5.13,4.97,-0.5684,16.04,10.8,16/05/2025,11:35,
1605-6 15,1,AIG NEWXX,7.7,5.82,4.59,-0.5716,18.11,11.11,16/05/2025,11:35,
1605-6 16,1,AIG NEWXX,6.24,5.22,4.8,-0.5689,16.26,10.72,16/05/2025,11:36,
1605-6 17,1,AIG NEWXX,6.12,5.75,4.78,-0.5596,16.65,11.23,16/05/2025,11:37,
1605-6 18,1,AIG NEWXX,6.89,5.67,4.59,-0.5646,17.15,10.96,16/05/2025,11:37,
1605-6 19,1,AIG NEWXX,6.29,5.99,4.55,-0.5784,16.83,11.24,16/05/2025,11:38,
1605-6 20,1,AIG NEWXX,6.65,5.77,4.64,-0.5613,17.06,11.11,16/05/2025,11:39,
1605-6 21,1,AIG NEWXX,6.09,5.6,4.81,-0.564,16.5,11.11,16/05/2025,11:40,
1605-6 22,1,AIG NEWXX,6.63,5.45,4.73,-0.5698,16.81,10.88,16/05/2025,11:40,
1605-6 23,1,AIG NEWXX,7.15,5.69,4.59,-0.5578,17.43,10.98,16/05/2025,11:41,
1605-6 24,1,AIG NEWXX,6.92,5.44,4.68,-0.5645,17.04,10.82,16/05/2025,11:42,
1605-6 25,1,AIG NEWXX,4.3,3.83,4.42,-0.5482,12.55,8.95,16/05/2025,11:42,
1605-6 26,1,AIG NEWXX,5.39,3.76,4.42,-0.5502,13.57,8.88,16/05/2025,11:43,
1605-6 27,1,AIG NEWXX,4.2,3.88,4.73,-0.5473,12.81,9.31,16/05/2025,11:44,
1605-6 28,1,AIG NEWXX,5.16,4.03,4.58,-0.5558,13.77,9.31,16/05/2025,11:45,
