Sample Id,Rep #,Product,Fat,Protein,Lactose,FPD,TS,SNF,Date,Time,Remark
1605-6 145,1,AIG NEWXX,4.73,3.41,4.46,-0.5468,12.6,8.57,16/05/2025,13:11,
1605-6 146,1,AIG NEWXX,4.88,4.09,4.55,-0.5564,13.52,9.34,16/05/2025,13:12,
1605-6 147,1,AIG NEWXX,5.43,4.47,4.75,-0.5527,14.65,9.92,16/05/2025,13:12,
1605-6 148,1,AIG NEWXX,5.7,4.33,4.45,-0.5593,14.48,9.48,16/05/2025,13:13,
1605-6 149,1,AIG NEWXX,5.1,5.2,4.55,-0.5547,14.85,10.45,16/05/2025,13:14,
1605-6 150,1,AIG NEWXX,5.52,4.73,4.38,-0.5523,14.63,9.81,16/05/2025,13:15,
1605-6 151,1,AIG NEWXX,4.37,4.22,4.49,-0.5546,13.08,9.41,16/05/2025,13:15,
1605-6 152,1,AIG NEWXX,4.85,4.4,4.48,-0.5581,13.73,9.58,16/05/2025,13:16,
1605-6 153,1,AIG NEWXX,4.63,3.58,4.57,-0.5469,12.78,8.85,16/05/2025,13:17,
1605-6 154,1,AIG NEWXX,3.6,3.3,4.25,-0.5452,11.15,8.25,16/05/2025,13:17,
1605-6 155,1,AIG NEWXX,4.21,3.52,4.59,-0.5418,12.32,8.81,16/05/2025,13:18,
1605-6 156,1,AIG NEWXX,4.19,3.4,4.25,-0.543,11.84,8.35,16/05/2025,13:19,
1605-6 157,1,AIG NEWXX,6.78,5.75,4.62,-0.5645,17.15,11.07,16/05/2025,13:20,
1605-6 158,1,AIG NEWXX,7.03,5.59,4.48,-0.5656,17.1,10.77,16/05/2025,13:20,
1605-6 159,1,AIG NEWXX,7.3,6.06,4.34,-0.5661,17.7,11.1,16/05/2025,13:21,
1605-6 160,1,AIG NEWXX,7.82,5.5,4.36,-0.5618,17.68,10.56,16/05/2025,13:22,
1605-6 161,1,AIG NEWXX,5.5,4.33,4.85,-0.5542,14.68,9.88,16/05/2025,13:22,
1605-6 162,1,AIG NEWXX,7.53,5.84,4.47,-0.561,17.84,11.01,16/05/2025,13:23,
1605-6 163,1,AIG NEWXX,6.83,5.57,4.58,-0.56,16.98,10.85,16/05/2025,13:24,
1605-6 164,1,AIG NEWXX,6.28,5.62,4.63,-0.5682,16.53,10.95,16/05/2025,13:25,
1605-6 165,1,AIG NEWXX,7.34,5.8,3.66,-0.5649,16.8,10.16,16/05/2025,13:25,
1605-6 166,1,AIG NEWXX,5.27,4.97,5.14,-0.5693,15.38,10.81,16/05/2025,13:26,
1605-6 167,1,AIG NEWXX,6.88,5.7,4.43,-0.5746,17.01,10.83,16/05/2025,13:27,
1605-6 168,1,AIG NEWXX,6.65,5.43,4.73,-0.5731,16.81,10.86,16/05/2025,13:27,
1605-6 169,1,AIG NEWXX,6.93,5.39,4.59,-0.5721,16.91,10.68,16/05/2025,13:28,
1605-6 170,1,AIG NEWXX,6.48,5.59,4.71,-0.5634,16.78,11.0,16/05/2025,13:29,
1605-6 171,1,AIG NEWXX,7.06,5.74,4.66,-0.5682,17.46,11.1,16/05/2025,13:30,
1605-6 172,1,AIG NEWXX,7.01,5.83,4.66,-0.5615,17.5,11.19,16/05/2025,13:30,
1605-6 173,1,AIG NEWXX,6.92,5.77,4.6,-0.5668,17.29,11.07,16/05/2025,13:31,
1605-6 174,1,AIG NEWXX,6.81,5.47,4.7,-0.5626,16.98,10.87,16/05/2025,13:32,
1605-6 175,1,AIG NEWXX,6.29,5.68,4.77,-0.5589,16.74,11.15,16/05/2025,13:35,
